ad_system,publishers,publisher_list
google.com,60,accuweather.com allrecipes.com axios.com bild.de bleacherreport.com businessinsider.com bustle.com buzzfeed.com cbsnews.com cbssports.com cnbc.com cnet.com cnn.com corriere.it cosmopolitan.com dailymail.co.uk elpais.com espn.com forbes.com foxnews.com gamespot.com goodhousekeeping.com gq.com huffpost.com ign.com independent.co.uk latimes.com lemonde.fr metro.co.uk mirror.co.uk msn.com nbcnews.com newsweek.com nypost.com nytimes.com pcmag.com people.com politico.com refinery29.com reuters.com rollingstone.com spiegel.de standard.co.uk techradar.com telegraph.co.uk theguardian.com thehill.com thekitchn.com thesun.co.uk theverge.com today.com tomsguide.com usatoday.com variety.com vogue.com washingtonpost.com weather.com wired.com yahoo.com zdnet.com
indexexchange.com,60,accuweather.com allrecipes.com axios.com bild.de bleacherreport.com businessinsider.com bustle.com buzzfeed.com cbsnews.com cbssports.com cnbc.com cnet.com cnn.com corriere.it cosmopolitan.com dailymail.co.uk elpais.com espn.com forbes.com foxnews.com gamespot.com goodhousekeeping.com gq.com huffpost.com ign.com independent.co.uk latimes.com lemonde.fr metro.co.uk mirror.co.uk msn.com nbcnews.com newsweek.com nypost.com nytimes.com pcmag.com people.com politico.com refinery29.com reuters.com rollingstone.com spiegel.de standard.co.uk techradar.com telegraph.co.uk theguardian.com thehill.com thekitchn.com thesun.co.uk theverge.com today.com tomsguide.com usatoday.com variety.com vogue.com washingtonpost.com weather.com wired.com yahoo.com zdnet.com
openx.com,60,accuweather.com allrecipes.com axios.com bild.de bleacherreport.com businessinsider.com bustle.com buzzfeed.com cbsnews.com cbssports.com cnbc.com cnet.com cnn.com corriere.it cosmopolitan.com dailymail.co.uk elpais.com espn.com forbes.com foxnews.com gamespot.com goodhousekeeping.com gq.com huffpost.com ign.com independent.co.uk latimes.com lemonde.fr metro.co.uk mirror.co.uk msn.com nbcnews.com newsweek.com nypost.com nytimes.com pcmag.com people.com politico.com refinery29.com reuters.com rollingstone.com spiegel.de standard.co.uk techradar.com telegraph.co.uk theguardian.com thehill.com thekitchn.com thesun.co.uk theverge.com today.com tomsguide.com usatoday.com variety.com vogue.com washingtonpost.com weather.com wired.com yahoo.com zdnet.com
pubmatic.com,60,accuweather.com allrecipes.com axios.com bild.de bleacherreport.com businessinsider.com bustle.com buzzfeed.com cbsnews.com cbssports.com cnbc.com cnet.com cnn.com corriere.it cosmopolitan.com dailymail.co.uk elpais.com espn.com forbes.com foxnews.com gamespot.com goodhousekeeping.com gq.com huffpost.com ign.com independent.co.uk latimes.com lemonde.fr metro.co.uk mirror.co.uk msn.com nbcnews.com newsweek.com nypost.com nytimes.com pcmag.com people.com politico.com refinery29.com reuters.com rollingstone.com spiegel.de standard.co.uk techradar.com telegraph.co.uk theguardian.com thehill.com thekitchn.com thesun.co.uk theverge.com today.com tomsguide.com usatoday.com variety.com vogue.com washingtonpost.com weather.com wired.com yahoo.com zdnet.com
rubiconproject.com,60,accuweather.com allrecipes.com axios.com bild.de bleacherreport.com businessinsider.com bustle.com buzzfeed.com cbsnews.com cbssports.com cnbc.com cnet.com cnn.com corriere.it cosmopolitan.com dailymail.co.uk elpais.com espn.com forbes.com foxnews.com gamespot.com goodhousekeeping.com gq.com huffpost.com ign.com independent.co.uk latimes.com lemonde.fr metro.co.uk mirror.co.uk msn.com nbcnews.com newsweek.com nypost.com nytimes.com pcmag.com people.com politico.com refinery29.com reuters.com rollingstone.com spiegel.de standard.co.uk techradar.com telegraph.co.uk theguardian.com thehill.com thekitchn.com thesun.co.uk theverge.com today.com tomsguide.com usatoday.com variety.com vogue.com washingtonpost.com weather.com wired.com yahoo.com zdnet.com
appnexus.com,59,accuweather.com allrecipes.com axios.com bild.de bleacherreport.com businessinsider.com bustle.com buzzfeed.com cbsnews.com cbssports.com cnbc.com cnet.com cnn.com corriere.it cosmopolitan.com dailymail.co.uk elpais.com espn.com forbes.com foxnews.com gamespot.com goodhousekeeping.com gq.com huffpost.com ign.com independent.co.uk latimes.com lemonde.fr metro.co.uk mirror.co.uk msn.com nbcnews.com newsweek.com nypost.com pcmag.com people.com politico.com refinery29.com reuters.com rollingstone.com spiegel.de standard.co.uk techradar.com telegraph.co.uk theguardian.com thehill.com thekitchn.com thesun.co.uk theverge.com today.com tomsguide.com usatoday.com variety.com vogue.com washingtonpost.com weather.com wired.com yahoo.com zdnet.com
themediagrid.com,59,accuweather.com allrecipes.com axios.com bild.de bleacherreport.com bustle.com buzzfeed.com cbsnews.com cbssports.com cnbc.com cnet.com cnn.com corriere.it cosmopolitan.com dailymail.co.uk elpais.com espn.com forbes.com foxnews.com gamespot.com goodhousekeeping.com gq.com huffpost.com ign.com independent.co.uk latimes.com lemonde.fr metro.co.uk mirror.co.uk msn.com nbcnews.com newsweek.com nypost.com nytimes.com pcmag.com people.com politico.com refinery29.com reuters.com rollingstone.com spiegel.de standard.co.uk techradar.com telegraph.co.uk theguardian.com thehill.com thekitchn.com thesun.co.uk theverge.com today.com tomsguide.com usatoday.com variety.com vogue.com washingtonpost.com weather.com wired.com yahoo.com zdnet.com
triplelift.com,59,accuweather.com allrecipes.com bild.de bleacherreport.com businessinsider.com bustle.com buzzfeed.com cbsnews.com cbssports.com cnbc.com cnet.com cnn.com corriere.it cosmopolitan.com dailymail.co.uk elpais.com espn.com forbes.com foxnews.com gamespot.com goodhousekeeping.com gq.com huffpost.com ign.com independent.co.uk latimes.com lemonde.fr metro.co.uk mirror.co.uk msn.com nbcnews.com newsweek.com nypost.com nytimes.com pcmag.com people.com politico.com refinery29.com reuters.com rollingstone.com spiegel.de standard.co.uk techradar.com telegraph.co.uk theguardian.com thehill.com thekitchn.com thesun.co.uk theverge.com today.com tomsguide.com usatoday.com variety.com vogue.com washingtonpost.com weather.com wired.com yahoo.com zdnet.com
aps.amazon.com,58,allrecipes.com bild.de bleacherreport.com businessinsider.com bustle.com buzzfeed.com cbsnews.com cbssports.com cnbc.com cnet.com cnn.com corriere.it cosmopolitan.com dailymail.co.uk elpais.com espn.com forbes.com foxnews.com gamespot.com goodhousekeeping.com gq.com huffpost.com ign.com independent.co.uk latimes.com lemonde.fr metro.co.uk mirror.co.uk msn.com nbcnews.com newsweek.com nypost.com nytimes.com pcmag.com people.com politico.com refinery29.com reuters.com rollingstone.com spiegel.de standard.co.uk techradar.com telegraph.co.uk theguardian.com thehill.com thekitchn.com thesun.co.uk theverge.com today.com tomsguide.com usatoday.com variety.com vogue.com washingtonpost.com weather.com wired.com yahoo.com zdnet.com
media.net,58,allrecipes.com bild.de bleacherreport.com businessinsider.com bustle.com buzzfeed.com cbsnews.com cbssports.com cnbc.com cnet.com cnn.com corriere.it cosmopolitan.com dailymail.co.uk elpais.com espn.com forbes.com foxnews.com gamespot.com goodhousekeeping.com gq.com huffpost.com ign.com independent.co.uk latimes.com lemonde.fr metro.co.uk mirror.co.uk msn.com nbcnews.com newsweek.com nypost.com nytimes.com pcmag.com people.com politico.com refinery29.com reuters.com rollingstone.com spiegel.de standard.co.uk techradar.com telegraph.co.uk theguardian.com thehill.com thekitchn.com thesun.co.uk theverge.com today.com tomsguide.com usatoday.com variety.com vogue.com washingtonpost.com weather.com wired.com yahoo.com zdnet.com
